TorqStop P/N,Description,Price,Year,Brake System,Vehicle Type,Application,Bolts / Hardware Included,Rotor Type,Rotor Weight (lb),Rotor Weight (kg),Overall Diameter (in),Overall Diameter (mm),Disc Thickness (in)      ,Disc Thickness (mm),Minimum Thickness (in),Minimum Thickness (mm),Overall Depth (in),Overall Depth (in)        (mm),Pilot Diameter (in),Pilot Diameter (imm),Bolt Circle Diameter (in),Bolt Circle Diameter (mm),Bolt Hole Diameter,Bolt Hole Count,"ABS
Tone Ring",Image #1 (Rotor with Hardware),Image 2,Image # 3,Image #4 (Dimensional Drawing),Availability Status,UPC Code,Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS/ Pallet,Country of Origin,HTS Code,VMRS Code,Warranty ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHM56641,Coated Brake Rotor,0,2022,Meritor® EX225,Transit / Coach,"MCI, Oshkosh, Pierce, Orion, NABI",No,Hat,76,35,17.1,434,1.77,44.96,1.53,39,5.19,131.83,5.31,134.87,6.61,167.89,"3/4""",12,No,,,,,Active,,81.2,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUM56642,Coated Brake Rotor,0,2022,Meritor® EX225,Transit / Coach,"MCI, Oshkosh, Pierce, Orion, NABI",No,U-Shaped,83,38,17.1,434,1.77,44.96,1.45,37,5.64,143.26,8.5,215.9,10.5,266.7,"5/8""-18",10,No,,,,,Active,,84.9,,,,1,1,20,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUW71601,Coated Brake Rotor,0,2022,WABCO PAN™ 19,Trailer,,No,U-Shaped,61,28,14.84,377,1.77,44.96,1.53,39,5.91,150.11,8.66,219.96,9.82,249.43,M16-2,10,Cast-In,,,,,Active,,64.1,,,,1,1,30,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUW75180,Coated Brake Rotor,0,2022,WABCO PAN™ 17,Trailer,,No,U-Shaped,42,19,12.8,325,1.34,34.04,1.11,28,5.85,148.59,6.81,172.97,7.72,196.09,M14-2,8,Cast-In,,,,,Active,,44.0,,,,1,1,45,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUB76603,Coated Brake Rotor,0,2022,Knorr-Bremse SB/SN7,Transit / Coach,Prevost,No,U-Shaped,81,37,17.1,434,1.77,44.96,1.45,37,5.35,135.89,7.64,194.06,8.66,219.96,M16-1.5,10,No,,,,,Active,,85.7,,,,1,1,20,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUB76604,Coated Brake Rotor,0,2022,Knorr-Bremse SB/SN7,Transit / Coach,Prevost,No,U-Shaped,99,45,17.1,434,1.77,44.96,1.45,37,7.08,179.83,7.64,194.06,9.84,249.94,"5/8""-18",10,Cast-In,,,,,Active,,85.7,,,,1,1,20,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUM76606,Coated Brake Rotor,0,2022,Meritor® D-LISA,Transit / Coach,"NABI, Gillig",No,U-Shaped,80,36,17.1,434,1.77,44.96,1.46,37,5.65,143.51,7.64,194.06,9.84,249.94,"5/8""-18",10,Bolt-On,,,,,Active,,85.7,,,,1,1,20,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUB76612,Coated Brake Rotor,0,2022,Knorr-Bremse SB/SN7,Transit / Coach,"NOVA, BCI",No,U-Shaped,76,35,16.93,430,1.77,44.96,1.53,39,5.16,131.06,7.99,202.95,9.25,234.95,M16-1.5,10,No,,,,,Active,,79.2,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUW76613,Coated Brake Rotor,0,2022,WABCO PAN™ 22,Trailer,Ridewell,Yes,U-Shaped,71,32,16.93,430,1.77,44.96,1.53,39,5.91,150.11,8.66,219.96,9.82,249.43,M16-2,10,Cast-In,,,,,Active,,75.7,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUB76617,Coated Brake Rotor,0,2022,Bendix® / Knorr-Bremse ADB22X™ and ADB225™,Truck / Trailer,"Hendrickson, Kenworth, Freightliner, International, Volvo, Peterbilt, MCI, Mack",Yes,U-Shaped,76,35,16.93,430,1.77,44.96,1.46,37,5.91,150.11,8.66,219.96,9.84,249.94,"5/8""-11",10,No,,,,,Active,,82.5,,,,1,1,24,CN,8708.30.5030,013-017-001,12 Months / Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
